2001-2005 WLD,,,2001-2005 CHN,,,2001-2005 USA,,,2006-2010 WLD,,,2006-2010 CHN,,,2006-2010 USA,,,2011-2015 WLD,,,2011-2015 CHN,,,2011-2015 USA,,
product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity
8462,8459,0.869269231,412,411,0.8,3414,3510,0.9,8459,8462,0.862368661,4244,4242,0.866666667,13,3414,0.9,8462,8459,0.862139001,4244,4242,0.933333333,2518,541,0.9
8459,8462,0.869269231,4244,4242,0.8,13,6411,0.9,8462,8459,0.862368661,4242,4244,0.866666667,3414,13,0.9,8459,8462,0.862139001,4242,4244,0.933333333,541,13,0.9
8431,8421,0.860133566,4242,4244,0.8,3510,6411,0.9,8451,8459,0.832369523,8431,8424,0.824880383,13,411,0.9,8462,8451,0.853724879,8434,8433,0.874259699,13,541,0.9
8421,8431,0.860133566,411,412,0.8,3510,3414,0.9,8459,8451,0.832369523,8424,8431,0.824880383,913,13,0.9,8451,8462,0.853724879,8433,8434,0.874259699,541,2518,0.9
8459,8439,0.851968085,7416,7492,0.722394221,13,3414,0.9,8459,8452,0.828209178,8434,8431,0.811315585,411,13,0.9,8441,8439,0.835550441,8433,8431,0.864828431,541,6411,0.9
8439,8459,0.851968085,7492,7416,0.722394221,6411,13,0.9,8452,8459,0.828209178,8431,8434,0.811315585,13,913,0.9,8439,8441,0.835550441,8431,8433,0.864828431,6411,541,0.9
8452,8459,0.843801418,6535,6538,0.712857143,6411,3510,0.9,8434,8433,0.825067319,8435,8433,0.811128378,8459,8451,0.873778608,8434,8433,0.832591415,8435,8433,0.861976381,13,913,0.866666667
8459,8452,0.843801418,6538,6535,0.712857143,3414,13,0.9,8433,8434,0.825067319,8433,8435,0.811128378,8451,8459,0.873778608,8433,8434,0.832591415,8433,8435,0.861976381,541,913,0.866666667
8451,8459,0.839968085,5827,5154,0.705952381,8462,8459,0.840472543,8431,8434,0.821405328,7452,7449,0.803928571,8462,8459,0.814672619,8423,8439,0.828870928,8431,8434,0.835392031,913,541,0.866666667
8459,8451,0.839968085,5154,5827,0.705952381,8459,8462,0.840472543,8434,8431,0.821405328,7449,7452,0.803928571,8459,8462,0.814672619,8439,8423,0.828870928,8434,8431,0.835392031,913,13,0.866666667
8439,8434,0.835741757,7452,7449,0.705833333,8459,8451,0.820171874,8452,8435,0.820897436,8431,8439,0.800272071,8451,8439,0.809660895,8459,8451,0.822971879,8435,8431,0.827150058,8451,8459,0.85370479
8434,8439,0.835741757,7449,7452,0.705833333,8451,8459,0.820171874,8435,8452,0.820897436,8439,8431,0.800272071,8439,8451,0.809660895,8451,8459,0.822971879,8431,8435,0.827150058,8459,8451,0.85370479
8451,8452,0.835112697,7416,7272,0.705272372,8423,8439,0.802382229,8439,8423,0.81980735,8435,8434,0.790004163,8459,8439,0.808441558,8462,8439,0.821872587,8435,8439,0.819370016,8459,8463,0.834781979
